項次,公司中文全名,型號,冷氣季節性能因數CSPF標示值,能源效率等級,額定冷氣能力標示值(kW),額定冷氣能力消耗電功率標示值(kW),冷氣機機組構成方式
153,大同股份有限公司,R-502DDHN,5.45,1,5.00,1.20,一對一分離式
154,大同股份有限公司,R-232DYHN,5.93,1,2.20,0.51,一對一分離式
155,大同股份有限公司,TCV-8PN,7.92,1,28.50,5.96,單體式
156,大同股份有限公司,R-362DYHN,5.93,1,3.60,0.86,一對一分離式
157,大同股份有限公司,R-732DYHN,5.12,1,7.30,1.92,一對一分離式
158,大同股份有限公司,R-80DDSR,5.31,1,8.00,2.25,一對一分離式
159,大同股份有限公司,R-42DYSR,6.23,1,4.10,0.98,一對一分離式
160,大同股份有限公司,R-232DDHN,5.93,1,2.20,0.51,一對一分離式
161,大同股份有限公司,TCV-8PNX,7.32,1,28.50,6.06,單體式
162,大同股份有限公司,TW-50DDSN,4.16,1,5.00,1.56,單體式
163,大同股份有限公司,R-282DYHN,5.94,1,2.80,0.64,一對一分離式
164,大同股份有限公司,R-802DDRN,5.12,1,8.00,2.22,一對一分離式
165,大同股份有限公司,R-802DDVN,5.12,1,8.00,2.22,一對一分離式
166,大同股份有限公司,R-422DYHN,5.45,1,4.20,0.98,一對一分離式
167,大同股份有限公司,R-28DDSR,6.16,1,2.80,0.62,一對一分離式
168,大同股份有限公司,R-1102DDBN,5.08,1,11.00,3.23,一對一分離式
169,大同股份有限公司,TCV-8PNY,7.32,1,28.50,6.06,單體式
170,大同股份有限公司,R-502DDSN,5.45,1,5.00,1.20,一對一分離式
171,大同股份有限公司,R-802DDCN,5.12,1,8.00,2.22,一對一分離式
172,大同股份有限公司,R-23DDSR,6.39,1,2.30,0.53,一對一分離式
173,大同股份有限公司,R-802DYRN,5.12,1,8.00,2.22,一對一分離式
174,大同股份有限公司,R-632DDHN,5.34,1,6.30,1.63,一對一分離式
175,大同股份有限公司,R-1402DDWN,5.03,1,14.00,4.20,一對一分離式
176,大同股份有限公司,R-23DYSR,6.39,1,2.30,0.53,一對一分離式
177,大同股份有限公司,TCV-5PNX,6.67,1,18.00,4.24,單體式
178,大同股份有限公司,R-28DYSR,6.16,1,2.80,0.62,一對一分離式
179,大同股份有限公司,R-502DYSN,5.45,1,5.00,1.20,一對一分離式
180,大同股份有限公司,R-502DYHN,5.45,1,5.00,1.20,一對一分離式
181,大同股份有限公司,R-1252DDIN,5.03,1,14.00,4.20,一對一分離式
182,大同股份有限公司,TPHV-52NS,6.63,1,5.20,1.17,單體式
183,大岩空調有限公司,YMTO-28ZVH,5.94,1,2.80,0.64,一對一分離式
184,大岩空調有限公司,DHO-41KMVC,5.36,1,4.10,1.06,一對一分離式
185,大岩空調有限公司,DHO-36KMVHS,5.95,1,3.60,0.95,一對一分離式
186,大岩空調有限公司,DHO-50KMVHS,5.34,1,5.00,1.32,一對一分離式
187,大岩空調有限公司,DHO-28KMVGH,5.94,1,2.80,0.73,一對一分離式
188,大岩空調有限公司,YMTO-73ZVH,5.12,1,7.30,2.05,一對一分離式
189,大岩空調有限公司,DHO-652KMVH,5.11,1,7.20,2.25,多管型系列組合分離式
190,大岩空調有限公司,YMTO-36ZVH,5.93,1,3.60,0.86,一對一分離式
191,大岩空調有限公司,DHVO-853KVJ,5.12,1,8.50,2.60,一對一分離式
192,大岩空調有限公司,DHO-28KMVHS,5.94,1,2.80,0.65,一對一分離式
193,大岩空調有限公司,DHO-80KMVHS,5.12,1,8.00,2.35,一對一分離式
194,大岩空調有限公司,DHO-50KMVC,5.34,1,5.00,1.29,一對一分離式
195,大岩空調有限公司,YMTO-42ZVH,5.38,1,4.20,0.98,單體式
196,大岩空調有限公司,DHO-90KMVHS,5.12,1,9.00,2.70,一對一分離式
197,大岩空調有限公司,DHO-85KMVC,5.12,1,8.50,2.50,一對一分離式
198,大岩空調有限公司,DHO-28KMVH,5.94,1,2.80,0.73,一對一分離式
199,大岩空調有限公司,DHO-72KMVHS,5.12,1,7.20,2.10,一對一分離式
200,大岩空調有限公司,DHO-28KMVCG,5.94,1,2.80,0.73,一對一分離式
